category,image_id,mask_variation,gen_variation_id,nima_mean,nima_std,giqa_score,itm,cos
toaster,173008,bbox,0,4.59496545791626,1.50114905834198,-188.75393151245152,0.0618896484375,0.30224609375
toaster,173008,bbox,1,4.861151695251465,1.5253900289535522,-435.9858348473754,0.10321044921875,0.37109375
toaster,173008,bbox,2,4.4346466064453125,1.4449013471603394,-244.6657616307976,0.06085205078125,0.328125
toaster,173008,segm,0,4.75255823135376,1.4669653177261353,-273.12454302421816,0.09625244140625,0.318115234375
toaster,173008,segm,1,4.698301792144775,1.4242486953735352,-337.4922321709114,0.1005859375,0.32177734375
toaster,173008,segm,2,4.48205041885376,1.4368053674697876,-370.6669229767233,0.08758544921875,0.320556640625
toothbrush,324614,bbox,0,4.98300313949585,1.5382176637649536,-578.1431654247453,0.138916015625,0.380615234375
toothbrush,324614,bbox,1,4.948729515075684,1.520401120185852,-473.3320762203289,0.09991455078125,0.35986328125
toothbrush,324614,bbox,2,4.752110958099365,1.5278303623199463,-502.5393197953688,0.06378173828125,0.38037109375
toothbrush,324614,segm,0,4.988492012023926,1.5617895126342771,-387.7067999317078,0.180419921875,0.38232421875
toothbrush,324614,segm,1,4.961645126342773,1.5296847820281982,-290.45653973364097,0.08984375,0.374267578125
toothbrush,324614,segm,2,4.894527912139893,1.5341708660125732,-379.8336005776055,0.30810546875,0.4033203125
toothbrush,544519,bbox,0,4.8494977951049805,1.4450451135635376,-594.4564870971203,0.61572265625,0.4140625
toothbrush,544519,bbox,1,5.017821311950684,1.4389177560806274,-379.2496960831809,0.697265625,0.406982421875
toothbrush,544519,bbox,2,5.008590698242188,1.4611620903015137,-408.500495152734,0.697265625,0.455078125
toothbrush,544519,segm,0,4.821028232574463,1.4346110820770264,-531.7041637980992,0.6708984375,0.39990234375
toothbrush,544519,segm,1,4.909541606903076,1.447157859802246,-455.05168785900105,0.7822265625,0.392333984375
toothbrush,544519,segm,2,4.9826436042785645,1.446009397506714,-567.0169125581872,0.7275390625,0.4248046875
toothbrush,482319,bbox,0,4.418460369110107,1.4618202447891235,-412.8585699755622,0.217529296875,0.232421875
toothbrush,482319,bbox,1,4.466812610626221,1.5343608856201172,-391.6777681606543,0.1104736328125,0.2470703125
toothbrush,482319,bbox,2,4.407808780670166,1.5305997133255005,-459.7643816579762,0.06927490234375,0.3056640625
toothbrush,482319,segm,0,4.217873573303223,1.4176607131958008,-451.94278175643103,0.5634765625,0.39208984375
toothbrush,482319,segm,1,4.029958724975586,1.4236327409744265,-486.29121118992816,0.442626953125,0.3486328125
toothbrush,482319,segm,2,4.12107515335083,1.3685834407806396,-468.2350296910372,0.35595703125,0.29931640625
toothbrush,175251,bbox,0,5.216074466705322,1.5722492933273315,-604.7743575694872,0.62744140625,0.372314453125
toothbrush,175251,bbox,1,5.207718849182129,1.5336273908615112,-533.8429789469515,0.69970703125,0.404052734375
toothbrush,175251,bbox,2,5.313688278198242,1.5709384679794312,-493.977559063781,0.8154296875,0.43310546875
toothbrush,175251,segm,0,5.160192489624023,1.54246723651886,-693.8649470960258,0.74462890625,0.3916015625
toothbrush,175251,segm,1,5.321499824523926,1.5362440347671509,-584.7355556707848,0.7421875,0.412841796875
toothbrush,175251,segm,2,5.256364822387695,1.567846655845642,-618.4617008198848,0.75927734375,0.374755859375
toothbrush,241319,bbox,0,5.350975513458252,1.5539973974227903,-370.4679439536969,0.556640625,0.4755859375
toothbrush,241319,bbox,1,5.430054187774658,1.34887957572937,-360.5965325783004,0.1182861328125,0.296875
toothbrush,241319,bbox,2,5.548590183258057,1.4802358150482178,-316.5047938449716,0.376220703125,0.401611328125
toothbrush,241319,segm,0,5.380802154541016,1.4029210805892944,-424.63536809864513,0.396484375,0.434326171875
toothbrush,241319,segm,1,5.276040077209473,1.3996292352676392,-508.9277470647783,0.3125,0.431640625
toothbrush,241319,segm,2,5.480959415435791,1.4273051023483276,-357.1235469089995,0.338623046875,0.4228515625
toothbrush,445999,bbox,0,3.8376598358154297,1.3042662143707275,-544.8452418805234,0.48681640625,0.32373046875
toothbrush,445999,bbox,1,3.9769442081451416,1.3607556819915771,-603.6853085917087,0.54345703125,0.30615234375
toothbrush,445999,bbox,2,3.818916082382202,1.2708687782287598,-361.2205511963857,0.47509765625,0.310302734375
toothbrush,445999,segm,0,3.727406740188599,1.2492351531982422,-450.2464951057143,0.32666015625,0.273193359375
toothbrush,445999,segm,1,3.871279239654541,1.2985634803771973,-585.5155379744342,0.364013671875,0.28515625
toothbrush,445999,segm,2,3.765942096710205,1.276933670043945,-480.7807692111349,0.2401123046875,0.274658203125
toothbrush,92091,bbox,0,4.285135746002197,1.501283049583435,-358.03706694257994,0.03399658203125,0.31396484375
toothbrush,92091,bbox,1,4.429994583129883,1.456112027168274,-356.78371739424256,0.09783935546875,0.3623046875
toothbrush,92091,bbox,2,4.409445762634277,1.5398530960083008,-396.2057707541919,0.0118484497070312,0.300048828125
toothbrush,92091,segm,0,4.152668952941895,1.427117109298706,-372.4566992212608,0.0858154296875,0.31005859375
toothbrush,92091,segm,1,4.256054401397705,1.456508994102478,-348.88723120659665,0.134033203125,0.357421875
toothbrush,92091,segm,2,4.221632957458496,1.4659613370895386,-389.6135457035957,0.05609130859375,0.29296875
toothbrush,521405,bbox,0,5.3626017570495605,1.49716055393219,-376.8228599286961,0.72314453125,0.41748046875
toothbrush,521405,bbox,1,5.387758255004883,1.4847601652145386,-374.32525670173953,0.6953125,0.412109375
toothbrush,521405,bbox,2,5.418700695037842,1.4578183889389038,-387.7029307423845,0.62109375,0.432373046875
toothbrush,521405,segm,0,5.261965751647949,1.4710787534713743,-439.5295749670496,0.65576171875,0.422119140625
toothbrush,521405,segm,1,5.230862140655518,1.4871591329574585,-379.4153941979566,0.689453125,0.417724609375
toothbrush,521405,segm,2,5.365792751312256,1.450880765914917,-508.8237827274945,0.65673828125,0.412109375
toothbrush,492878,bbox,0,5.096314907073975,1.572057843208313,-495.9960888908822,0.095947265625,0.229736328125
toothbrush,492878,bbox,1,5.174412727355957,1.6010416746139526,-525.4517333490453,0.0654296875,0.2415771484375
toothbrush,492878,bbox,2,5.097774982452393,1.647765874862671,-616.5868349517086,0.061248779296875,0.2264404296875
toothbrush,492878,segm,0,4.752746105194092,1.5575330257415771,-579.0782012177965,0.021759033203125,0.212158203125
toothbrush,492878,segm,1,4.792830467224121,1.603241205215454,-637.5689979869994,0.1456298828125,0.2471923828125
toothbrush,492878,segm,2,4.739686012268066,1.6050328016281128,-456.4965577355224,0.1197509765625,0.243408203125
toothbrush,507473,bbox,0,4.245597839355469,1.4099026918411257,-562.0185601209755,0.49951171875,0.38232421875
toothbrush,507473,bbox,1,4.178119659423828,1.4549092054367063,-398.2610979648805,0.50341796875,0.403076171875
toothbrush,507473,bbox,2,4.399864196777344,1.532071828842163,-480.93209720907726,0.4453125,0.36328125
toothbrush,507473,segm,0,4.249565124511719,1.447302222251892,-409.2651675971913,0.4677734375,0.386474609375
