category,image_id,mask_variation,gen_variation_id,nima_mean,nima_std,giqa_score,itm,cos
toaster,173008,bbox,0,4.664292335510254,1.4471523761749268,-481.2319852890519,0.06463623046875,0.259033203125
toaster,173008,bbox,1,4.727158069610596,1.4539687633514404,-447.44448612172687,0.1339111328125,0.284423828125
toaster,173008,bbox,2,4.258853912353516,1.434542536735535,-388.7496291690232,0.1666259765625,0.32861328125
toaster,173008,segm,0,4.786921977996826,1.4539833068847656,-493.7199516468618,0.13916015625,0.29443359375
toaster,173008,segm,1,4.893956661224365,1.5311229228973389,-382.4108178861159,0.1505126953125,0.320068359375
toaster,173008,segm,2,4.780429840087891,1.4960124492645264,-408.28017490608295,0.04754638671875,0.276611328125
toothbrush,324614,bbox,0,4.61945390701294,1.5032836198806765,-478.4152535863723,0.1485595703125,0.35107421875
toothbrush,324614,bbox,1,4.871467113494873,1.4691789150238037,-383.6383407308608,0.0626220703125,0.318115234375
toothbrush,324614,bbox,2,4.858647346496582,1.5058213472366333,-371.60995938151336,0.29638671875,0.36376953125
toothbrush,324614,segm,0,4.912722587585449,1.509615182876587,-241.895139109798,0.1995849609375,0.324462890625
toothbrush,324614,segm,1,4.85707950592041,1.5163568258285522,-306.29613049291765,0.04345703125,0.274658203125
toothbrush,324614,segm,2,5.025840759277344,1.5420067310333252,-343.0185834887111,0.09033203125,0.32958984375
toothbrush,544519,bbox,0,5.0369391441345215,1.446358323097229,-500.23731650788113,0.6923828125,0.40625
toothbrush,544519,bbox,1,5.191638469696045,1.4177913665771484,-599.4148377740335,0.6044921875,0.42333984375
toothbrush,544519,bbox,2,5.082799434661865,1.445897340774536,-648.4769951468506,0.68359375,0.41455078125
toothbrush,544519,segm,0,4.916195392608643,1.4649931192398071,-525.3623766435392,0.08624267578125,0.296142578125
toothbrush,544519,segm,1,5.040695667266846,1.426942229270935,-344.8532234832187,0.64697265625,0.404296875
toothbrush,544519,segm,2,5.12550687789917,1.4389275312423706,-654.85970855819,0.07086181640625,0.295654296875
toothbrush,482319,bbox,0,4.5104498863220215,1.4976961612701416,-529.312132793194,0.14306640625,0.23193359375
toothbrush,482319,bbox,1,4.418845653533936,1.405198574066162,-530.6019187248075,0.0751953125,0.1854248046875
toothbrush,482319,bbox,2,4.302385330200195,1.4343055486679075,-521.9619490690325,0.08978271484375,0.26025390625
toothbrush,482319,segm,0,4.3777852058410645,1.3797447681427002,-417.8046629155997,0.406494140625,0.296142578125
toothbrush,482319,segm,1,4.394244194030762,1.405927658081055,-522.3584520535092,0.30859375,0.296875
toothbrush,482319,segm,2,4.041616916656494,1.375786304473877,-416.91860114763153,0.312255859375,0.3076171875
toothbrush,175251,bbox,0,5.908292293548584,1.6144872903823853,-924.0212870517972,0.1766357421875,0.30029296875
toothbrush,175251,bbox,1,4.995666027069092,1.5448416471481323,-565.3560152694781,0.48291015625,0.35546875
toothbrush,175251,bbox,2,5.908292293548584,1.6144872903823853,-924.0212870517972,0.1766357421875,0.30029296875
toothbrush,175251,segm,0,5.908292293548584,1.6144872903823853,-924.0212870517972,0.1766357421875,0.30029296875
