category,image_id,width,height,prompt,bbox_512,num_inference_steps,guidance_scale,seed
apple,193926,799,595,,"[0, 0, 512, 512]",31,8.832242835730762,1145441010
apple,389381,1024,868,,"[167, 179, 512, 512]",25,3.5813548817879983,821827540
apple,116362,612,612,,"[0, 21, 512, 512]",26,6.428333350464056,847200043
apple,562059,683,1024,,"[0, 322, 512, 512]",24,7.997806746281609,757855135
apple,322959,612,612,,"[100, 0, 512, 512]",35,7.444671666432088,1340589947
apple,424721,1024,768,,"[430, 0, 512, 512]",47,9.238421084414568,1938609420
apple,407825,563,564,,"[31, 34, 512, 512]",44,8.743542842645962,1786372013
apple,189078,1000,667,,"[488, 0, 512, 512]",48,9.264138661438862,2014448640
apple,522007,1024,768,,"[0, 98, 512, 512]",19,1.2392896102083748,500051954
apple,110999,574,1024,,"[62, 512, 512, 512]",13,4.935232001165579,168571695
apple,548506,1024,680,,"[80, 0, 512, 512]",17,5.364498942795593,388528798
apple,217753,1024,768,,"[0, 201, 512, 512]",42,1.5863877763309675,1701289843
apple,482719,1024,768,,"[179, 216, 512, 512]",22,1.0506344561145364,644859804
apple,119452,1024,768,,"[428, 165, 512, 512]",48,8.475592932741314,2038980991
apple,386210,765,1024,,"[166, 36, 512, 512]",27,9.84972019857558,906032039
apple,173091,612,612,,"[1, 100, 512, 512]",40,8.061488674054116,1579638338
apple,388903,850,565,,"[20, 53, 512, 512]",32,3.8404314098044585,1182859276
apple,188592,768,1024,,"[117, 308, 512, 512]",31,7.348003341305084,1131072087
apple,177714,1023,654,,"[106, 0, 512, 512]",44,3.69262965878422,1827983318
apple,113589,1024,768,,"[477, 131, 512, 512]",33,7.666736345881738,1217393872
apple,60855,1024,816,,"[454, 36, 512, 512]",10,3.517724977734583,29768455
apple,280891,667,1000,,"[18, 405, 512, 512]",16,8.043318237953184,335554307
apple,473406,768,1024,,"[256, 512, 512, 512]",31,9.88966672205119,1130085198
apple,158660,612,612,,"[100, 11, 512, 512]",48,9.876146943522146,2002619399
apple,138954,612,612,,"[100, 61, 512, 512]",25,8.945763102970082,807025520
apple,509131,1024,680,,"[251, 168, 512, 512]",12,9.21529046605526,126659316
apple,303566,1024,681,,"[327, 169, 512, 512]",20,7.373862226928552,544610078
apple,409424,768,1024,,"[256, 267, 512, 512]",19,5.990471895371578,502803994
apple,461009,612,612,,"[31, 53, 512, 512]",11,9.309143872631983,78112099
apple,216277,1024,768,,"[87, 144, 512, 512]",50,1.807577018688813,2135232880
apple,203095,1024,768,,"[512, 256, 512, 512]",29,4.331183906260067,1006074700
apple,128598,768,1024,,"[0, 265, 512, 512]",32,6.453450491583366,1171239504
apple,479596,1023,685,,"[447, 173, 512, 512]",43,5.29956907226817,1754370252
apple,376307,768,1024,,"[1, 409, 512, 512]",30,8.135720924475056,1084998680
apple,185599,1024,768,,"[155, 0, 512, 512]",46,2.755777541311419,1933072943
backpack,549390,1024,683,,"[0, 171, 512, 512]",31,8.832242835730762,1145441010
backpack,74256,1024,768,,"[512, 176, 512, 512]",25,3.5813548817879983,821827540
backpack,490515,1024,683,,"[142, 35, 512, 512]",26,6.428333350464056,847200043
backpack,534041,1024,768,,"[512, 0, 512, 512]",24,7.997806746281609,757855135
backpack,434204,1024,683,,"[410, 0, 512, 512]",35,7.444671666432088,1340589947
backpack,24610,1024,768,,"[512, 256, 512, 512]",47,9.238421084414568,1938609420
backpack,455716,1024,693,,"[503, 61, 512, 512]",44,8.743542842645962,1786372013
backpack,115245,612,612,,"[0, 0, 512, 512]",48,9.264138661438862,2014448640
backpack,572462,612,612,,"[100, 100, 512, 512]",19,1.2392896102083748,500051954
backpack,420916,1024,640,,"[149, 128, 512, 512]",13,4.935232001165579,168571695
backpack,172595,1024,576,,"[176, 64, 512, 512]",17,5.364498942795593,388528798
backpack,89648,1024,683,,"[512, 39, 512, 512]",42,1.5863877763309675,1701289843
backpack,413247,1024,681,,"[512, 169, 512, 512]",22,1.0506344561145364,644859804
backpack,351810,1024,768,,"[104, 226, 512, 512]",48,8.475592932741314,2038980991
backpack,16451,612,612,,"[100, 100, 512, 512]",27,9.84972019857558,906032039
backpack,180296,930,523,,"[418, 11, 512, 512]",40,8.061488674054116,1579638338
backpack,356427,1024,683,,"[496, 171, 512, 512]",32,3.8404314098044585,1182859276
backpack,361551,768,1024,,"[67, 505, 512, 512]",31,7.348003341305084,1131072087
backpack,186449,697,1023,,"[0, 0, 512, 512]",44,3.69262965878422,1827983318
backpack,230993,1023,653,,"[143, 141, 512, 512]",33,7.666736345881738,1217393872
backpack,107094,1024,681,,"[512, 95, 512, 512]",10,3.517724977734583,29768455
backpack,303713,683,1024,,"[0, 512, 512, 512]",16,8.043318237953184,335554307
backpack,30828,1024,683,,"[0, 84, 512, 512]",31,9.88966672205119,1130085198
backpack,403565,715,1024,,"[186, 512, 512, 512]",48,9.876146943522146,2002619399
backpack,361586,930,523,,"[418, 11, 512, 512]",25,8.945763102970082,807025520
backpack,568439,1024,719,,"[512, 164, 512, 512]",12,9.21529046605526,126659316
backpack,346232,683,1024,,"[0, 379, 512, 512]",20,7.373862226928552,544610078
backpack,32887,1024,768,,"[512, 96, 512, 512]",19,5.990471895371578,502803994
backpack,203389,720,540,,"[48, 28, 512, 512]",11,9.309143872631983,78112099
backpack,568981,1023,682,,"[0, 170, 512, 512]",50,1.807577018688813,2135232880
backpack,9891,1024,768,,"[466, 256, 512, 512]",29,4.331183906260067,1006074700
backpack,84650,1024,768,,"[512, 116, 512, 512]",32,6.453450491583366,1171239504
backpack,363188,1024,680,,"[171, 114, 512, 512]",43,5.29956907226817,1754370252
backpack,179898,1024,768,,"[384, 0, 512, 512]",30,8.135720924475056,1084998680
backpack,192699,1023,731,,"[511, 219, 512, 512]",46,2.755777541311419,1933072943
backpack,132796,1024,681,,"[501, 0, 512, 512]",25,1.5602814767499709,825039645
backpack,280779,1024,801,,"[341, 85, 512, 512]",27,2.138665665159264,914582800
backpack,309964,1024,683,,"[203, 171, 512, 512]",11,9.665034264254464,86984129
backpack,466125,683,1024,,"[0, 473, 512, 512]",30,2.194970835064874,1058021795
backpack,150224,1024,683,,"[512, 171, 512, 512]",29,3.0348849462685425,1014848104
backpack,156372,536,800,,"[0, 288, 512, 512]",39,4.393507338605968,1521018998
backpack,424162,1023,819,,"[511, 64, 512, 512]",28,6.610794772067163,946897390
backpack,325347,1023,575,,"[166, 0, 512, 512]",23,8.038865176023725,693415842
backpack,157928,1024,768,,"[336, 0, 512, 512]",17,1.7078400439235306,411317620
backpack,579307,768,1024,,"[110, 115, 512, 512]",40,9.381137078287315,1594737559
backpack,492284,1024,768,,"[512, 41, 512, 512]",20,7.865125519139077,548344684
backpack,250619,1023,770,,"[88, 258, 512, 512]",10,3.888677059518759,27700026
backpack,261888,1023,682,,"[469, 88, 512, 512]",46,2.7039881748540786,1901078373
backpack,368900,1024,768,,"[0, 219, 512, 512]",33,6.363575990083298,1245682962
backpack,235784,1023,734,,"[117, 131, 512, 512]",12,6.352203040853406,143465762
banana,269314,1024,768,,"[41, 256, 512, 512]",31,8.832242835730762,1145441010
banana,575500,533,800,,"[0, 7, 512, 512]",25,3.5813548817879983,821827540
banana,480275,1024,754,,"[450, 0, 512, 512]",26,6.428333350464056,847200043
