category,image_id,mask_variation,gen_variation_id
apple,193926,random,0
apple,193926,random,1
apple,193926,random,2
apple,389381,random,0
apple,389381,random,1
apple,389381,random,2
apple,116362,random,0
apple,116362,random,1
apple,116362,random,2
apple,562059,random,0
apple,562059,random,1
apple,562059,random,2
apple,322959,random,0
apple,322959,random,1
apple,322959,random,2
apple,424721,random,0
apple,424721,random,1
apple,424721,random,2
apple,407825,random,0
apple,407825,random,1
apple,407825,random,2
apple,189078,random,0
apple,189078,random,1
apple,189078,random,2
apple,522007,random,0
apple,522007,random,1
apple,522007,random,2
apple,110999,random,0
apple,110999,random,1
apple,110999,random,2
apple,548506,random,0
apple,548506,random,1
apple,548506,random,2
apple,217753,random,0
apple,217753,random,1
apple,217753,random,2
apple,482719,random,0
apple,482719,random,1
apple,482719,random,2
apple,119452,random,0
apple,119452,random,1
apple,119452,random,2
apple,386210,random,0
apple,386210,random,1
apple,386210,random,2
apple,173091,random,0
apple,173091,random,1
apple,173091,random,2
apple,388903,random,0
apple,388903,random,1
apple,388903,random,2
apple,188592,random,0
apple,188592,random,1
apple,188592,random,2
apple,177714,random,0
apple,177714,random,1
apple,177714,random,2
apple,113589,random,0
apple,113589,random,1
apple,113589,random,2
apple,60855,random,0
apple,60855,random,1
apple,60855,random,2
apple,280891,random,0
apple,280891,random,1
apple,280891,random,2
apple,473406,random,0
apple,473406,random,1
apple,473406,random,2
apple,158660,random,0
apple,158660,random,1
apple,158660,random,2
apple,138954,random,0
apple,138954,random,1
apple,138954,random,2
apple,509131,random,0
apple,509131,random,1
apple,509131,random,2
apple,303566,random,0
apple,303566,random,1
apple,303566,random,2
apple,409424,random,0
apple,409424,random,1
apple,409424,random,2
apple,461009,random,0
apple,461009,random,1
apple,461009,random,2
apple,216277,random,0
apple,216277,random,1
apple,216277,random,2
apple,203095,random,0
apple,203095,random,1
apple,203095,random,2
apple,128598,random,0
apple,128598,random,1
apple,128598,random,2
apple,479596,random,0
apple,479596,random,1
apple,479596,random,2
apple,376307,random,0
apple,376307,random,1
apple,376307,random,2
apple,185599,random,0
apple,185599,random,1
apple,185599,random,2
backpack,549390,random,0
backpack,549390,random,1
backpack,549390,random,2
backpack,74256,random,0
backpack,74256,random,1
backpack,74256,random,2
backpack,490515,random,0
backpack,490515,random,1
backpack,490515,random,2
backpack,534041,random,0
backpack,534041,random,1
backpack,534041,random,2
backpack,434204,random,0
backpack,434204,random,1
backpack,434204,random,2
backpack,24610,random,0
backpack,24610,random,1
backpack,24610,random,2
backpack,455716,random,0
backpack,455716,random,1
backpack,455716,random,2
backpack,115245,random,0
backpack,115245,random,1
backpack,115245,random,2
backpack,572462,random,0
backpack,572462,random,1
backpack,572462,random,2
backpack,420916,random,0
backpack,420916,random,1
backpack,420916,random,2
backpack,172595,random,0
backpack,172595,random,1
backpack,172595,random,2
backpack,89648,random,0
backpack,89648,random,1
backpack,89648,random,2
backpack,413247,random,0
backpack,413247,random,1
backpack,413247,random,2
backpack,351810,random,0
backpack,351810,random,1
backpack,351810,random,2
backpack,16451,random,0
backpack,16451,random,1
backpack,16451,random,2
backpack,180296,random,0
backpack,180296,random,1
backpack,180296,random,2
backpack,356427,random,0
backpack,356427,random,1
backpack,356427,random,2
backpack,361551,random,0
backpack,361551,random,1
backpack,361551,random,2
backpack,186449,random,0
backpack,186449,random,1
backpack,186449,random,2
backpack,230993,random,0
backpack,230993,random,1
backpack,230993,random,2
backpack,107094,random,0
backpack,107094,random,1
backpack,107094,random,2
backpack,303713,random,0
backpack,303713,random,1
backpack,303713,random,2
backpack,30828,random,0
backpack,30828,random,1
backpack,30828,random,2
backpack,403565,random,0
backpack,403565,random,1
backpack,403565,random,2
backpack,361586,random,0
backpack,361586,random,1
backpack,361586,random,2
backpack,568439,random,0
backpack,568439,random,1
backpack,568439,random,2
backpack,346232,random,0
backpack,346232,random,1
backpack,346232,random,2
backpack,32887,random,0
backpack,32887,random,1
backpack,32887,random,2
backpack,203389,random,0
backpack,203389,random,1
backpack,203389,random,2
backpack,568981,random,0
backpack,568981,random,1
backpack,568981,random,2
backpack,9891,random,0
backpack,9891,random,1
backpack,9891,random,2
backpack,84650,random,0
backpack,84650,random,1
backpack,84650,random,2
backpack,363188,random,0
backpack,363188,random,1
backpack,363188,random,2
backpack,179898,random,0
backpack,179898,random,1
backpack,179898,random,2
backpack,192699,random,0
backpack,192699,random,1
backpack,192699,random,2
backpack,132796,random,0
backpack,132796,random,1
backpack,132796,random,2
backpack,280779,random,0
backpack,280779,random,1
backpack,280779,random,2
backpack,309964,random,0
backpack,309964,random,1
backpack,309964,random,2
backpack,466125,random,0
backpack,466125,random,1
backpack,466125,random,2
backpack,150224,random,0
backpack,150224,random,1
backpack,150224,random,2
backpack,156372,random,0
backpack,156372,random,1
backpack,156372,random,2
backpack,424162,random,0
backpack,424162,random,1
backpack,424162,random,2
backpack,325347,random,0
backpack,325347,random,1
backpack,325347,random,2
backpack,157928,random,0
backpack,157928,random,1
backpack,157928,random,2
backpack,579307,random,0
backpack,579307,random,1
backpack,579307,random,2
backpack,492284,random,0
backpack,492284,random,1
backpack,492284,random,2
backpack,250619,random,0
backpack,250619,random,1
backpack,250619,random,2
backpack,261888,random,0
backpack,261888,random,1
backpack,261888,random,2
backpack,368900,random,0
backpack,368900,random,1
backpack,368900,random,2
backpack,235784,random,0
backpack,235784,random,1
backpack,235784,random,2
banana,269314,random,0
banana,269314,random,1
banana,269314,random,2
banana,575500,random,0
banana,575500,random,1
banana,575500,random,2
banana,480275,random,0
banana,480275,random,1
banana,480275,random,2
banana,407574,random,0
banana,407574,random,1
banana,407574,random,2
banana,457262,random,0
banana,457262,random,1
banana,457262,random,2
banana,453708,random,0
banana,453708,random,1
banana,453708,random,2
banana,312406,random,0
banana,312406,random,1
banana,312406,random,2
banana,271471,random,0
banana,271471,random,1
banana,271471,random,2
banana,163951,random,0
banana,163951,random,1
banana,163951,random,2
banana,78959,random,0
banana,78959,random,1
banana,78959,random,2
banana,560256,random,0
banana,560256,random,1
banana,560256,random,2
banana,8844,random,0
banana,8844,random,1
banana,8844,random,2
banana,128658,random,0
banana,128658,random,1
banana,128658,random,2
banana,378515,random,0
